mes,termino,interes,category
2025-06,skirt,14.0,prenda
2025-07,skirt,15.0,prenda
2025-08,skirt,16.0,prenda
2025-09,skirt,15.0,prenda
2025-10,skirt,16.0,prenda
2025-11,skirt,18.0,prenda
2025-12,skirt,14.0,prenda
2026-01,skirt,12.0,prenda
2020-01,pants,29.0,prenda
2020-02,pants,29.0,prenda
2020-03,pants,24.0,prenda
2020-04,pants,24.0,prenda
2020-05,pants,26.0,prenda
2020-06,pants,27.0,prenda
2020-07,pants,28.0,prenda
2020-08,pants,27.0,prenda
2020-09,pants,30.0,prenda
2020-10,pants,31.0,prenda
2020-11,pants,31.0,prenda
2020-12,pants,34.0,prenda
2021-01,pants,32.0,prenda
2021-02,pants,30.0,prenda
2021-03,pants,30.0,prenda
2021-04,pants,29.0,prenda
2021-05,pants,29.0,prenda
2021-06,pants,29.0,prenda
2021-07,pants,30.0,prenda
2021-08,pants,33.0,prenda
2021-09,pants,32.0,prenda
2021-10,pants,36.0,prenda
2021-11,pants,40.0,prenda
2021-12,pants,38.0,prenda
2022-01,pants,33.0,prenda
2022-02,pants,33.0,prenda
2022-03,pants,34.0,prenda
2022-04,pants,34.0,prenda
2022-05,pants,32.0,prenda
2022-06,pants,33.0,prenda
2022-07,pants,33.0,prenda
2022-08,pants,34.0,prenda
2022-09,pants,37.0,prenda
2022-10,pants,38.0,prenda
2022-11,pants,38.0,prenda
2022-12,pants,39.0,prenda
2023-01,pants,36.0,prenda
2023-02,pants,37.0,prenda
2023-03,pants,35.0,prenda
2023-04,pants,35.0,prenda
2023-05,pants,33.0,prenda
2023-06,pants,35.0,prenda
2023-07,pants,32.0,prenda
2023-08,pants,35.0,prenda
2023-09,pants,35.0,prenda
2023-10,pants,41.0,prenda
2023-11,pants,41.0,prenda
2023-12,pants,41.0,prenda
2024-01,pants,38.0,prenda
2024-02,pants,36.0,prenda
2024-03,pants,38.0,prenda
2024-04,pants,37.0,prenda
2024-05,pants,36.0,prenda
2024-06,pants,36.0,prenda
2024-07,pants,34.0,prenda
2024-08,pants,37.0,prenda
2024-09,pants,37.0,prenda
2024-10,pants,40.0,prenda
2024-11,pants,44.0,prenda
2024-12,pants,44.0,prenda
2025-01,pants,39.0,prenda
2025-02,pants,40.0,prenda
2025-03,pants,39.0,prenda
2025-04,pants,38.0,prenda
2025-05,pants,37.0,prenda
2025-06,pants,39.0,prenda
2025-07,pants,38.0,prenda
2025-08,pants,43.0,prenda
2025-09,pants,45.0,prenda
2025-10,pants,49.0,prenda
2025-11,pants,53.0,prenda
2025-12,pants,49.0,prenda
2026-01,pants,45.0,prenda
2020-01,shirt,57.0,prenda
2020-02,shirt,58.0,prenda
2020-03,shirt,46.0,prenda
2020-04,shirt,53.0,prenda
2020-05,shirt,67.0,prenda
2020-06,shirt,73.0,prenda
2020-07,shirt,71.0,prenda
2020-08,shirt,67.0,prenda
2020-09,shirt,64.0,prenda
2020-10,shirt,61.0,prenda
2020-11,shirt,58.0,prenda
2020-12,shirt,61.0,prenda
2021-01,shirt,52.0,prenda
2021-02,shirt,55.0,prenda
2021-03,shirt,57.0,prenda
2021-04,shirt,63.0,prenda
2021-05,shirt,67.0,prenda
2021-06,shirt,74.0,prenda
2021-07,shirt,77.0,prenda
2021-08,shirt,70.0,prenda
2021-09,shirt,73.0,prenda
2021-10,shirt,68.0,prenda
2021-11,shirt,66.0,prenda
2021-12,shirt,67.0,prenda
2022-01,shirt,56.0,prenda
2022-02,shirt,60.0,prenda
2022-03,shirt,69.0,prenda
2022-04,shirt,75.0,prenda
2022-05,shirt,79.0,prenda
2022-06,shirt,87.0,prenda
2022-07,shirt,80.0,prenda
2022-08,shirt,82.0,prenda
2022-09,shirt,75.0,prenda
2022-10,shirt,73.0,prenda
2022-11,shirt,67.0,prenda
2022-12,shirt,68.0,prenda
2023-01,shirt,64.0,prenda
2023-02,shirt,66.0,prenda
2023-03,shirt,66.0,prenda
2023-04,shirt,77.0,prenda
2023-05,shirt,79.0,prenda
2023-06,shirt,89.0,prenda
2023-07,shirt,83.0,prenda
2023-08,shirt,83.0,prenda
2023-09,shirt,78.0,prenda
2023-10,shirt,76.0,prenda
2023-11,shirt,72.0,prenda
2023-12,shirt,70.0,prenda
2024-01,shirt,63.0,prenda
2024-02,shirt,69.0,prenda
2024-03,shirt,77.0,prenda
2024-04,shirt,76.0,prenda
2024-05,shirt,85.0,prenda
2024-06,shirt,93.0,prenda
2024-07,shirt,87.0,prenda
2024-08,shirt,87.0,prenda
2024-09,shirt,80.0,prenda
2024-10,shirt,78.0,prenda
2024-11,shirt,75.0,prenda
2024-12,shirt,82.0,prenda
2025-01,shirt,68.0,prenda
2025-02,shirt,71.0,prenda
2025-03,shirt,83.0,prenda
2025-04,shirt,85.0,prenda
2025-05,shirt,91.0,prenda
2025-06,shirt,97.0,prenda
2025-07,shirt,95.0,prenda
2025-08,shirt,100.0,prenda
2025-09,shirt,91.0,prenda
2025-10,shirt,86.0,prenda
2025-11,shirt,88.0,prenda
2025-12,shirt,84.0,prenda
2026-01,shirt,69.0,prenda
2020-01,blouse,10.0,prenda
2020-02,blouse,10.0,prenda
2020-03,blouse,7.0,prenda
2020-04,blouse,5.0,prenda
2020-05,blouse,6.0,prenda
2020-06,blouse,7.0,prenda
2020-07,blouse,8.0,prenda
2020-08,blouse,8.0,prenda
2020-09,blouse,8.0,prenda
2020-10,blouse,10.0,prenda
2020-11,blouse,11.0,prenda
2020-12,blouse,9.0,prenda
2021-01,blouse,9.0,prenda
2021-02,blouse,9.0,prenda
2021-03,blouse,9.0,prenda
2021-04,blouse,10.0,prenda
2021-05,blouse,7.0,prenda
2021-06,blouse,8.0,prenda
2021-07,blouse,8.0,prenda
2021-08,blouse,9.0,prenda
2021-09,blouse,10.0,prenda
2021-10,blouse,11.0,prenda
2021-11,blouse,10.0,prenda
2021-12,blouse,10.0,prenda
2022-01,blouse,11.0,prenda
2022-02,blouse,11.0,prenda
2022-03,blouse,12.0,prenda
2022-04,blouse,13.0,prenda
2022-05,blouse,12.0,prenda
2022-06,blouse,11.0,prenda
2022-07,blouse,10.0,prenda
2022-08,blouse,12.0,prenda
2022-09,blouse,12.0,prenda
2022-10,blouse,13.0,prenda
2022-11,blouse,12.0,prenda
2022-12,blouse,11.0,prenda
2023-01,blouse,12.0,prenda
2023-02,blouse,11.0,prenda
2023-03,blouse,11.0,prenda
2023-04,blouse,12.0,prenda
2023-05,blouse,11.0,prenda
2023-06,blouse,10.0,prenda
2023-07,blouse,9.0,prenda
2023-08,blouse,10.0,prenda
2023-09,blouse,10.0,prenda
2023-10,blouse,12.0,prenda
2023-11,blouse,12.0,prenda
2023-12,blouse,11.0,prenda
2024-01,blouse,10.0,prenda
2024-02,blouse,10.0,prenda
2024-03,blouse,10.0,prenda
2024-04,blouse,9.0,prenda
2024-05,blouse,9.0,prenda
2024-06,blouse,8.0,prenda
2024-07,blouse,8.0,prenda
2024-08,blouse,9.0,prenda
2024-09,blouse,9.0,prenda
2024-10,blouse,10.0,prenda
2024-11,blouse,9.0,prenda
2024-12,blouse,9.0,prenda
2025-01,blouse,9.0,prenda
2025-02,blouse,8.0,prenda
2025-03,blouse,9.0,prenda
2025-04,blouse,10.0,prenda
2025-05,blouse,9.0,prenda
2025-06,blouse,8.0,prenda
2025-07,blouse,8.0,prenda
2025-08,blouse,10.0,prenda
