mes,termino,impact_score
2019-12,sneakers,14.0
2019-12,streetwear,8.0
2019-12,vintage,2.0
2019-12,white,4.0
2019-12,yellow,4.0
2020-01,athleisure,26.840175665715115
2020-01,avant-garde,7.698310553789601
2020-01,beige,0.6
2020-01,bermuda shorts,0.3
2020-01,black,1.6989700043360187
2020-01,blouse,23.583105032343063
2020-01,bodysuit,0.3
2020-01,bomber jacket,5.104321373782643
2020-01,brown,40.195637608168596
2020-01,camel,2.0
2020-01,camouflage,6.0
2020-01,cargo pants,8.53239375982297
2020-01,casual,6.504119982655925
2020-01,cherry red,1.6989700043360187
2020-01,coat,16.339145592800314
2020-01,cotton,12.1169700377573
2020-01,denim,0.8999999999999999
2020-01,dress,44.815408840581654
2020-01,faux leather,0.6
2020-01,green,4.079181246047625
2020-01,grunge,4.653212513775344
2020-01,handbag,1.2
2020-01,heels,2.8512583487190755
2020-01,jacket,11.661759696485605
2020-01,jeans,3.1051499783199064
2020-01,khaki,8.0
2020-01,leather,0.6
2020-01,leopard print,0.3
2020-01,linen,4.292256071356476
2020-01,maxi dress,19.01913585581772
2020-01,mini skirt,3.9043213737826425
2020-01,minimalist,2.5440680443502757
2020-01,mohair,0.3
2020-01,navy,13.397940008672037
2020-01,pants,8.53239375982297
2020-01,pink,2.5440680443502757
2020-01,plaid,2.1
2020-01,preppy,1.5
2020-01,quiet luxury,1.6989700043360187
2020-01,red,7.176091259055681
2020-01,sandals,1.6989700043360187
2020-01,shirt,10.145954283132651
2020-01,skirt,19.74836697431802
2020-01,slip dress,0.8999999999999999
2020-01,streetwear,29.058563883221964
2020-01,sweater,0.6
2020-01,t-shirt,2.146128035678238
2020-01,trench coat,6.8512583487190755
2020-01,white,2.5051499783199063
2020-01,y2k,3.898970004336019
2020-02,animal print,2.146128035678238
2020-02,athleisure,16.806179973983888
2020-02,avant-garde,2.9
2020-02,bermuda shorts,2.1450980400142567
2020-02,black,2.7323937598229686
2020-02,blouse,35.4413486024759
2020-02,blue,3.6989700043360187
2020-02,bodysuit,0.6
2020-02,bomber jacket,4.0
2020-02,brown,2.0
2020-02,cardigan,2.1450980400142567
2020-02,cargo pants,6.94830486304816
2020-02,casual,3.3483048630481607
2020-02,cherry red,2.1450980400142567
2020-02,coat,17.604119982655924
2020-02,cobalt blue,1.6989700043360187
2020-02,coquette,0.3
2020-02,corduroy,0.3
2020-02,corset,0.3
2020-02,cotton,5.9084850188786495
2020-02,crop top,2.681241237375587
2020-02,denim,0.3
2020-02,dress,77.7670925645407
2020-02,faux leather,2.8
2020-02,floral,1.845098040014257
2020-02,green,6.069377326076139
2020-02,handbag,0.8999999999999999
2020-02,hoodie,3.3483048630481607
2020-02,jacket,9.497940008672037
2020-02,jeans,0.3
2020-02,lace,0.3
2020-02,lavender,1.6989700043360187
2020-02,leather,3.8
2020-02,leopard print,0.3
2020-02,linen,6.291226075692495
2020-02,maxi dress,31.527243781503064
2020-02,mini skirt,2.4
2020-02,navy,3.0323937598229684
2020-02,pants,8.24830486304816
2020-02,pink,1.6989700043360187
2020-02,plaid,1.7999999999999998
2020-02,polka dot,0.3
2020-02,preppy,1.2
2020-02,red,6.224279286061882
2020-02,sandals,1.845098040014257
2020-02,satin,2.7323937598229686
2020-02,sequins,0.6
